Angle,Time
636.0,2.495
636.8,2.498
637.6,2.501
638.4,2.505
639.2,2.508
640.0,2.511
640.8,2.514
641.6,2.517
642.4,2.52
643.2,2.524
644.0,2.527
644.8,2.53
645.6,2.533
646.4,2.536
647.2,2.539
648.0,2.543
648.8,2.546
649.6,2.549
650.4,2.552
651.2,2.555
652.0,2.558
652.8,2.561
653.6,2.565
654.4,2.568
655.2,2.571
656.0,2.574
656.8,2.577
657.6,2.58
658.4,2.584
659.2,2.587
660.0,2.59
660.8,2.593
661.6,2.596
662.4,2.599
663.2,2.602
664.0,2.606
664.8,2.609
665.6,2.612
666.4,2.615
667.2,2.618
668.0,2.621
668.8,2.624
669.6,2.627
670.4,2.631
671.2,2.634
672.0,2.637
672.8,2.64
673.6,2.643
674.4,2.646
675.2,2.649
676.0,2.652
676.8,2.655
677.6,2.659
678.4,2.662
679.2,2.665
680.0,2.668
680.8,2.671
681.6,2.674
682.4,2.677
683.2,2.68
684.0,2.683
684.8,2.687
685.6,2.69
686.4,2.693
687.2,2.696
688.0,2.699
688.8,2.702
689.6,2.705
690.4,2.708
691.2,2.711
692.0,2.714
692.8,2.717
693.6,2.721
694.4,2.724
695.2,2.727
696.0,2.73
696.8,2.733
697.6,2.736
698.4,2.739
699.2,2.742
700.0,2.745
700.8,2.748
701.6,2.751
702.4,2.754
703.2,2.757
704.0,2.76
704.8,2.763
705.6,2.766
706.4,2.77
707.2,2.773
708.0,2.776
708.8,2.779
709.6,2.782
710.4,2.785
711.2,2.788
712.0,2.791
712.8,2.794
713.6,2.797
714.4,2.8
715.2,2.803
716.0,2.806
716.8,2.809
717.6,2.812
718.4,2.815
719.2,2.818
720.0,2.822
720.8,2.825
721.6,2.828
722.4,2.831
723.2,2.834
724.0,2.837
724.8,2.84
725.6,2.843
726.4,2.846
727.2,2.849
728.0,2.852
728.8,2.855
729.6,2.858
730.4,2.861
731.2,2.864
732.0,2.867
732.8,2.87
733.6,2.873
734.4,2.876
735.2,2.879
736.0,2.882
736.8,2.885
737.6,2.888
738.4,2.891
739.2,2.894
740.0,2.897
740.8,2.9
741.6,2.903
742.4,2.906
743.2,2.909
744.0,2.912
744.8,2.916
745.6,2.919
746.4,2.922
747.2,2.925
748.0,2.928
748.8,2.931
749.6,2.934
750.4,2.937
751.2,2.94
752.0,2.943
752.8,2.946
753.6,2.949
754.4,2.952
755.2,2.955
756.0,2.958
756.8,2.961
757.6,2.964
758.4,2.967
759.2,2.97
760.0,2.973
760.8,2.976
761.6,2.979
762.4,2.982
763.2,2.985
764.0,2.988
764.8,2.991
765.6,2.994
766.4,2.997
767.2,3.0
768.0,3.003
768.8,3.006
769.6,3.009
770.4,3.012
771.2,3.015
772.0,3.018
772.8,3.021
773.6,3.024
774.4,3.027
775.2,3.03
776.0,3.033
776.8,3.036
777.6,3.039
778.4,3.042
779.2,3.045
780.0,3.048
780.8,3.051
781.6,3.054
782.4,3.057
783.2,3.06
784.0,3.063
784.8,3.066
785.6,3.069
786.4,3.072
787.2,3.076
788.0,3.079
788.8,3.082
789.6,3.085
790.4,3.088
791.2,3.091
792.0,3.094
792.8,3.097
793.6,3.1
794.4,3.103
795.2,3.106
796.0,3.109
796.8,3.112
797.6,3.115
798.4,3.118
799.2,3.121
800.0,3.124
800.8,3.127
801.6,3.13
802.4,3.133
803.2,3.136
