Axis Count Time
T 32040 02354
T 32039 02357
T 32038 02360
T 32037 02363
T 32036 02367
T 32035 02370
T 32034 02373
T 32033 02376
T 32032 02380
T 32031 02383
T 32030 02386
T 32029 02389
T 32028 02393
T 32027 02396
T 32026 02399
T 32025 02403
T 32024 02406
T 32023 02409
T 32022 02412
T 32021 02415
T 32020 02419
T 32019 02422
T 32018 02425
T 32017 02428
T 32016 02432
T 32015 02435
T 32014 02438
T 32013 02441
T 32012 02445
T 32011 02448
T 32010 02451
T 32009 02455
T 32008 02458
T 32007 02461
T 32006 02464
T 32005 02467
T 32004 02471
T 32003 02474
T 32002 02477
T 32001 02481
T 32000 02484
T 31999 02487
T 31998 02490
T 31997 02493
T 31996 02497
T 31995 02500
T 31994 02503
T 31993 02506
T 31992 02510
T 31991 02513
T 31990 02516
T 31989 02519
T 31988 02523
T 31987 02526
T 31986 02529
T 31985 02532
T 31984 02535
T 31983 02539
T 31982 02542
T 31981 02545
T 31980 02549
T 31979 02552
T 31978 02555
T 31977 02558
T 31976 02562
T 31975 02565
T 31974 02568
T 31973 02571
T 31972 02574
T 31971 02578
T 31970 02581
T 31969 02584
T 31968 02587
T 31967 02591
T 31966 02594
T 31965 02597
T 31964 02600
T 31963 02604
T 31962 02607
T 31961 02610
T 31960 02613
T 31959 02616
T 31958 02620
T 31957 02623
T 31956 02626
T 31955 02629
T 31954 02632
T 31953 02636
T 31952 02639
T 31951 02642
T 31950 02645
T 31949 02649
T 31948 02652
T 31947 02655
T 31946 02658
T 31945 02661
T 31944 02665
T 31943 02668
T 31942 02671
T 31941 02674
T 31940 02678
T 31939 02681
T 31938 02684
T 31937 02687
T 31936 02690
T 31935 02694
T 31934 02697
T 31933 02700
T 31932 02703
T 31931 02706
T 31930 02710
T 31929 02713
T 31928 02716
T 31927 02719
T 31926 02722
T 31925 02725
T 31924 02729
T 31923 02732
T 31922 02735
T 31921 02738
T 31920 02741
T 31919 02744
T 31918 02747
T 31917 02751
T 31916 02754
T 31915 02757
T 31914 02760
T 31913 02763
T 31912 02766
T 31911 02770
T 31910 02773
T 31909 02776
T 31908 02779
T 31907 02782
T 31906 02785
T 31905 02789
T 31904 02792
T 31903 02795
T 31902 02798
T 31901 02801
T 31900 02804
T 31899 02807
T 31898 02811
T 31897 02814
T 31896 02817
T 31895 02820
T 31894 02823
T 31893 02826
T 31892 02830
T 31891 02833
T 31890 02836
T 31889 02839
T 31888 02842
T 31887 02845
T 31886 02848
T 31885 02851
T 31884 02855
T 31883 02858
T 31882 02861
T 31881 02864
T 31880 02867
T 31879 02870
T 31878 02873
T 31877 02877
T 31876 02880
T 31875 02883
T 31874 02886
T 31873 02889
T 31872 02892
T 31871 02895
T 31870 02898
T 31869 02902
T 31868 02905
T 31867 02908
T 31866 02911
T 31865 02914
T 31864 02917
T 31863 02921
T 31862 02924
T 31861 02927
T 31860 02930
T 31859 02933
T 31858 02936
T 31857 02939
T 31856 02943
T 31855 02946
T 31854 02949
T 31853 02952
T 31852 02955
T 31851 02958
T 31850 02961
T 31849 02965
T 31848 02968
T 31847 02971
T 31846 02974
T 31845 02977
T 31844 02980
T 31843 02983
T 31842 02987
T 31841 02990
T 31840 02993
T 31839 02996
T 31838 02999
T 31837 03002
T 31836 03005
T 31835 03008
T 31834 03012
T 31833 03015
T 31832 03018
T 31831 03021
T 31830 03024
T 31829 03027
T 31828 03030
T 31827 03034
T 31826 03037
T 31825 03040
T 31824 03043
T 31823 03046
T 31822 03049
T 31821 03052
T 31820 03056
T 31819 03059
T 31818 03062
T 31817 03065
T 31816 03068
T 31815 03071
T 31814 03074
T 31813 03077
T 31812 03080
T 31811 03084
T 31810 03087
T 31809 03090
T 31808 03093
T 31807 03096
T 31806 03099
T 31805 03102
T 31804 03105
T 31803 03109
T 31802 03112
T 31801 03115
T 31800 03118
T 31799 03121
T 31798 03124
T 31797 03127
T 31796 03130
T 31795 03133
T 31794 03137
T 31793 03140
T 31792 03143
T 31791 03146
T 31790 03149
T 31789 03152
T 31788 03156
T 31787 03159
T 31786 03162
T 31785 03165
T 31784 03168
